;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
86;160027905000018;4.09;818.43;428.37;731.85;218;192;23;44;15;15;31;40;54;3320135;889;828;55;156;889;468;421;301817;301307;510;154;16;24;0;0
87;160027905000019;4.22;1251.5;701.86;1341.37;219;175;34;71;23;23;30;36;36;34281010;917;804;86;239;917;446;471;519139;504089;15050;112;28;57;0;0
88;160027905000020;3.71;1769.53;900.22;1391.55;277;204;14;96;33;33;48;60;51;3926102;1027;844;39;278;1027;504;523;759787;759787;0;144;33;73;10;5
89;160027905000021;4.6;537.21;319.84;548.18;196;186;4;25;16;16;21;31;34;2932139;901;875;8;94;901;455;446;190208;190208;0;163;5;8;0;0
90;160027905000022;3.88;757.97;554.55;974.66;171;159;12;22;13;13;23;39;46;29933;664;628;36;79;664;324;340;289474;289474;0;83;12;23;1;0
91;160027905000023;3.74;1115.35;612.43;1028.32;365;252;94;120;48;48;49;96;64;4724118;1371;1080;230;341;1371;692;679;663266;659261;4005;214;46;63;1;3
92;160027905000024;3.95;838.95;497.46;1152.29;279;260;18;41;21;21;33;70;70;511285;1100;1046;51;133;1100;541;559;429805;415805;14000;122;18;34;2;3
93;160027905000025;4.38;882.85;414.38;760.25;272;243;26;38;20;20;24;53;64;45261411;1191;1111;74;127;1191;585;606;377082;377082;0;187;36;24;0;2
94;160027905000026;4.09;920.9;469.63;822.28;304;300;0;24;24;24;34;64;79;46261311;1244;1225;0;93;1244;645;599;444926;444926;0;187;36;37;2;2
95;160027905000027;4.44;326.28;255.96;528.92;143;142;0;16;6;6;20;28;24;311468;635;633;0;69;635;342;293;119535;119535;0;82;2;3;0;0
96;160027905000028;3.59;640.21;363.55;736.66;29;0;0;0;0;0;0;0;0;0;104;0;0;0;104;55;49;0;0;0;0;0;0;0;0
97;160027905000029;4.52;559.52;298.98;575.19;166;166;0;11;8;8;15;29;35;401894;751;751;0;35;751;370;381;173708;173708;0;121;9;6;0;1
98;160027905000030;4.73;567.37;306.86;616.54;180;180;0;7;12;12;19;33;36;2919125;851;851;0;29;851;447;404;200377;200377;0;129;8;11;0;0
99;160027905000031;4.26;596.96;289.91;640.97;197;195;2;21;16;16;24;43;36;292595;839;830;9;103;839;424;415;176266;176266;0;141;10;8;2;0
100;160027905000032;4.37;461.0;237.89;453.66;76;76;0;0;7;7;10;16;17;64101;332;332;0;0;332;184;148;58522;58522;0;61;0;3;0;0
101;160027905000033;3.52;680.44;342.25;575.89;188;188;0;0;48;48;36;29;21;1412162;661;661;0;0;661;381;280;179679;179679;0;157;11;11;0;1
102;160027905000034;4.21;359.85;183.97;408.22;200;200;0;0;34;34;25;26;31;2921149;842;842;0;0;842;452;390;111852;111852;0;169;2;1;0;0
103;160027905000035;5.37;337.8;162.34;414.87;35;35;0;0;4;4;4;4;4;1445;188;188;0;0;188;107;81;22403;22403;0;23;0;1;0;0
104;160027905000036;5.0;770.0;221.67;665.0;3;0;0;0;0;0;0;0;0;0;15;0;0;0;15;9;6;0;0;0;0;0;0;0;0
105;160027905000042;4.06;666.59;352.03;568.28;152;116;22;34;19;19;22;30;22;1921104;617;530;44;78;617;299;318;159119;159119;0;125;12;6;0;0
106;160027905000043;4.08;760.15;419.54;944.96;289;261;25;68;23;23;37;65;67;3534117;1180;1113;52;204;1180;575;605;396125;396125;0;146;27;32;0;0
107;160027905000044;4.02;795.38;414.87;710.94;256;222;0;44;29;29;35;43;54;4124119;1023;920;0;132;1023;504;519;321768;320068;1700;179;28;24;1;1
108;160027905000045;4.28;1331.97;657.86;1244.12;183;150;31;49;16;16;27;28;38;3117125;783;694;85;166;783;386;397;423001;423001;0;88;29;41;0;4
109;160027905000046;3.94;1378.7;661.43;1087.24;203;180;23;39;24;24;27;45;38;341556;800;742;58;117;800;400;400;427285;427285;0;136;21;34;2;3
110;160027905000047;4.05;899.34;586.68;933.95;252;216;15;52;23;23;32;44;55;453464;1018;924;37;164;1018;520;498;462184;438684;23500;177;15;33;1;4
111;160027905000048;3.92;898.9;543.28;936.04;226;196;8;15;21;21;33;44;50;2316155;897;770;22;42;897;468;429;371606;354987;16619;119;12;18;1;3
112;160027905000049;4.44;468.58;267.95;536.6;236;233;3;24;19;19;33;31;45;47261212;1047;1037;10;104;1047;518;529;203372;203372;0;174;7;10;0;0
113;160027905000050;4.39;524.03;259.98;557.87;217;215;0;16;18;18;32;36;34;4025125;953;950;0;64;953;494;459;187444;187444;0;147;12;9;0;0
114;160027905000051;4.51;775.97;373.61;701.79;174;174;0;25;7;7;21;28;43;262578;785;785;0;103;785;396;389;212238;212238;0;135;8;10;0;1
115;160027905000052;4.1;553.74;300.12;606.94;179;133;0;57;26;26;19;32;41;192082;731;582;0;203;731;364;367;161266;161266;0;127;11;7;1;0
116;160027905000053;4.11;1110.18;563.94;1002.97;161;136;0;44;14;14;27;26;30;2324100;661;595;0;133;661;327;334;298886;298886;0;96;14;33;0;1
117;160030305000001;3.53;3128.62;1902.24;2840.86;324;223;101;107;45;45;69;68;62;292399;1145;908;237;292;1145;531;614;1942638;1942638;0;86;32;123;15;36
118;160030305000002;3.55;3387.98;1862.52;2755.51;101;90;7;15;11;11;23;19;20;12952;359;329;19;47;359;172;187;597416;597416;0;19;10;39;8;13
119;160030305000003;3.6;2604.45;1390.12;2085.17;76;17;56;51;16;16;14;16;12;7021;266;104;159;140;266;131;135;301646;300626;1020;21;11;29;5;4
120;160030305000004;3.33;2135.38;1321.76;2006.31;157;89;52;78;31;31;30;32;29;131053;521;355;138;198;521;252;269;615938;613938;2000;50;18;61;8;5
121;160030305000005;3.54;3706.38;1907.38;2843.36;182;132;44;60;30;30;43;38;29;13987;645;539;96;140;645;286;359;1070845;1070845;0;41;17;75;7;30
122;160030305000006;3.37;2100.51;1267.33;1857.44;222;126;88;96;47;47;50;39;29;241365;747;546;189;227;747;355;392;836428;835428;1000;79;26;87;10;5
123;160030305000007;3.39;3017.12;1664.69;2346.12;172;108;39;73;36;36;37;30;30;14755;583;447;98;155;583;278;305;853222;853222;0;61;15;71;7;15
124;160030305000008;3.65;1869.1;1134.17;1792.13;151;128;2;33;10;10;30;40;29;231042;549;484;3;91;549;257;292;558946;557926;1020;62;12;46;4;5
125;160030305000009;4.15;2484.57;1238.13;2007.01;193;148;44;58;4;4;17;58;46;341984;800;651;145;200;800;359;441;873370;873370;0;43;25;111;6;6
