;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
2752;510520020000004;2.7;1451.0;950.79;1198.0;38;20;0;0;3;3;5;8;3;1000;72;54;0;0;72;45;27;39130;39130;0;8;3;9;0;0
2753;510520020000005;3.05;1247.57;640.57;1071.73;37;37;0;1;3;3;14;5;8;7000;113;113;0;4;113;58;55;55730;55730;0;21;7;7;0;0
2754;510523405000001;3.11;1173.61;684.38;1078.76;286;282;0;64;42;42;64;67;63;281431;886;876;0;211;886;451;435;500255;500255;0;177;37;46;2;2
2755;510523405000002;3.21;1035.8;599.99;898.53;345;335;1;97;44;44;87;69;74;431870;1104;1081;2;302;1104;562;542;549478;549478;0;247;39;40;0;2
2756;510523405000003;3.21;877.92;452.76;780.92;158;158;0;3;14;14;40;42;36;17621;507;507;0;9;507;268;239;201477;201477;0;128;11;7;0;2
2757;510523405000004;2.93;405.79;334.85;622.7;43;43;0;1;11;11;8;8;8;5300;126;126;0;1;126;62;64;35494;35494;0;26;3;0;0;0
2758;510523405000005;3.23;1058.84;499.14;898.45;44;44;0;0;6;6;9;13;8;5200;142;142;0;0;142;76;66;58399;58399;0;29;5;5;0;0
2759;510523405000006;3.29;859.9;428.43;712.99;82;82;0;0;10;10;15;19;24;9401;270;270;0;0;270;143;127;95540;95540;0;68;4;8;0;0
2760;510523405000007;3.49;873.24;423.06;748.89;93;93;0;3;8;8;20;24;20;13402;325;325;0;10;325;183;142;120571;120571;0;68;6;14;0;0
2761;510523405000008;3.21;857.08;415.41;769.39;102;101;0;0;11;11;24;29;17;13600;325;324;0;0;325;179;146;108353;108353;0;75;19;4;0;0
2762;510523405000009;2.87;1147.73;635.39;992.79;60;60;0;0;7;7;15;25;8;3110;172;172;0;0;172;98;74;95308;95308;0;38;6;13;0;0
2763;510523405000010;3.17;893.76;441.35;876.73;58;58;0;0;8;8;14;12;13;8201;184;184;0;0;184;103;81;64878;64878;0;44;4;6;0;0
2764;510523405000011;3.34;693.97;420.58;681.26;272;271;0;57;34;34;54;65;65;35823;905;904;0;175;905;455;450;292668;292668;0;200;32;11;0;0
2765;510523405000012;3.15;703.16;413.93;646.65;154;154;0;26;15;15;36;47;36;14213;485;485;0;79;485;272;213;161017;161017;0;127;17;3;0;0
2766;510525905000001;3.08;3169.93;1701.03;2605.24;275;152;92;155;29;29;76;65;71;21651;845;517;258;449;845;415;430;1279175;1279175;0;42;39;135;5;30
2767;510525905000002;3.05;3339.97;1816.0;2936.8;152;125;26;69;23;23;38;37;28;15721;466;390;71;192;466;232;234;750822;749802;1020;32;19;57;2;16
